x,y,p
-7074.11628828,-21144.8955142882,1.559
-6760.98322803044,-120016.129583485,1.629
-6749.72659523081,-49646.3535875888,1.568
-6593.97189997986,-288084.110890562,1.556
-6582.80648268946,-290249.160213235,1.559
-6499.09815504227,208153.203759906,1.494
-6407.72602731502,-291061.000022915,1.559
-6243.92894801125,159424.867126002,1.519
-6045.32745029544,-290761.104578425,1.554
-6017.9648548183,222404.159707962,1.499
-5901.4408295278,-19947.3553315372,1.547
-5746.39188967738,-177836.815162413,1.609
-5691.95326262439,207282.180734996,1.519
-5682.04565070651,-11386.0896352748,1.579
-5386.32418153598,-178321.931727551,1.619
-5295.33939784934,179197.649312553,1.549
-5216.25499404786,179999.659607195,1.559
-4889.77264607052,-19768.1087296842,1.549
-4847.38571982883,-170333.520920106,1.629
-4808.80970688938,169075.346681482,1.523
-4678.4363715924,-171018.315895461,1.629
-4394.70742399874,-170351.39681351,1.629
-4125.49456175568,-19564.9698613693,1.549
-3977.53752362076,-49311.1722010393,1.599
-3932.52629125724,-131952.048874059,1.599
-3908.56579802523,-19303.5530945017,1.559
-3637.05561018304,-198972.013091051,1.599
-3606.70380818273,-120895.266376554,1.629
-3595.34727634321,-170717.379290961,1.629
-3365.6282023809,-19313.3305282651,1.549
-3200.72596246901,191731.517460832,1.509
-2981.75916607131,-49381.6322837361,1.583
-2950.88038884045,-120987.398246232,1.624
-2937.84896942234,143221.390151246,1.504
-2808.50184374716,117562.763083171,1.519
-2807.09610319341,-5297.78440376715,1.599
-2793.46299367637,117497.239094469,1.469
-2646.20681685867,-287603.532748875,1.546
-2472.03300383291,-131777.483355973,1.539
-2093.44453131786,123226.485320884,1.488
-1837.93633067748,-130686.420464316,1.629
-1766.15409203555,203303.52306493,1.517
-1146.51031381678,-262707.963490566,1.629
-700.406656389066,-2772.65538879443,1.579
-625.50443643122,1491.7130115038,1.649
-488.041054972331,-2171.66781158058,1.549
-220.406067887903,123175.912282314,1.449
-111.47493982478,-218.720356952399,1.599
-101.640676501964,-110.043811250362,1.599
-96.3463860089541,123599.03872547,1.489
-52.2444695540471,-150.349844259385,1.599
55.8956811210373,122961.906954941,1.449
221.614929197589,-174335.045537173,1.614
277.741553345521,13768.36992736,1.539
304.495305541088,-172651.321968016,1.614
371.858008847747,15389.4347757446,1.514
402.061948133283,-61222.1834662854,1.633
492.277688324393,124469.235015819,1.498
536.166382370633,123437.538874326,1.484
692.011877842364,-126897.414465755,1.629
705.517634132411,124702.164022187,1.498
877.69813675253,18503.508920996,1.519
933.149703238916,197082.5702946,1.549
993.298658937099,18671.1825101448,1.519
999.619762053946,124751.517646827,1.484
1124.4007449589,18965.4075046541,1.524
1128.03834289993,201703.451545375,1.523
1179.28041373775,174360.293309445,1.549
1284.33267600182,-126722.449427834,1.629
1353.6542122956,-125881.782983149,1.629
1374.2262525477,210422.455001889,1.494
1501.01935782057,193827.522104312,1.524
1805.08719758067,-286700.733266866,1.546
1866.39640518092,9114.34070707887,1.569
1939.99713239697,167907.394553402,1.549
2074.57931037649,-17788.6799658239,1.559
2119.23092670907,119592.702694615,1.459
2124.39819192671,-165468.477672385,1.629
2166.50785756734,199213.18473343,1.518
2215.25513675512,104259.759231976,1.529
2269.74847436184,-123547.655043906,1.624
2324.1675974942,201689.164703816,1.518
2326.76423840347,-165177.567377895,1.629
2342.75755498849,-42200.8226353339,1.679
2707.754533839,-286283.631801308,1.546
2865.32222122519,-17748.3484789304,1.569
2905.81833180593,-124518.65768382,1.629
3082.62640793284,201277.11659953,1.518
3104.67287279875,-284637.812753016,1.546
3229.00035854138,26724.390171547,1.519
3556.87013999082,-218243.46489517,1.539
3678.84090669203,135870.106835181,1.498
3736.36035084649,15789.1464096659,1.519
3752.60158020456,136024.972128146,1.499
3859.71129179117,191741.266595278,1.559
3937.45808477915,-17890.36258936,1.579
4054.61100845272,191519.144961434,1.524
4057.38895666786,-45519.8149305371,1.669
4163.51046128437,-18030.8564075228,1.563
4181.71650481026,-118745.071409407,1.629
4187.44174005685,-285539.370955922,1.541
4414.29445229063,-46271.8283665481,1.679
4607.35580411251,-46109.4403045129,1.679
4718.80143088056,-46069.2907853316,1.679
4821.572998452,-268605.889847394,1.63
4946.74079372326,-45907.9655510227,1.679
4963.47762360179,98655.1143301984,1.539
4970.85247697786,182913.792895053,1.549
5145.92956292653,-194969.023827079,1.579
5202.00214159559,170866.909974333,1.529
5209.76805729046,-128351.7786351,1.558
5350.48092987627,137304.915401617,1.519
5380.45761077822,-191443.725661588,1.549
5562.47880785342,-282833.976731485,1.546
5684.6290463077,137203.331612674,1.494
5861.29001536395,137172.257280496,1.494
5937.2400676689,-52434.1415561583,1.669
6034.14956775057,-118747.795511858,1.569
6099.88832648989,-118637.19641285,1.589
6258.18626058189,211774.941754476,1.528
6263.80814599968,-118473.725933891,1.519
6471.94564342411,193794.894085193,1.527
6525.84640617995,-118603.35358157,1.519
6544.24487833463,-118264.604447045,1.559
6558.98086549563,-106379.407983128,1.593
6699.73097207025,34598.5799679772,1.519
6762.89824003546,-79533.1678836751,1.653
6867.72879469709,137058.060492862,1.499
6901.43689135177,175967.993489819,1.549
6951.24632563489,-92000.5313958946,1.649
7011.35366558674,33933.8582044783,1.539
7084.20185573772,-201409.838052279,1.564
7158.68926361704,223379.581958932,1.519
7257.23071112216,-280807.905671489,1.579
7292.08798426099,-280815.807577098,1.556
7298.61672180175,-85130.1932482609,1.599
7377.43594407453,-80102.9979816367,1.623
7496.53460692981,175384.044768554,1.539
7502.1633487767,-103032.879792729,1.609
7659.13096169877,-280453.099274183,1.557
7740.35391572351,-118348.64614747,1.549
7792.40652357956,-191154.789497317,1.549
7935.12558873766,198689.365257749,1.539
7960.00540383509,-18867.6845681709,1.578
8240.97189050948,196474.708029041,1.543
8267.94036225812,40077.3872472975,1.579
8444.03126542573,-280488.488197015,1.551
